geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
afg,Afghanistan,99.91,100.03,101.25,103.97,104.48,105.31,105.07,104.64,102.96,104.27,103.95,103.15,100.8,104.72,110.82,114.36,118.25,122.52,127.54,134.32,139.71,145.38,151.44,158.84,166.63,174.34,179.3,185,191.55,201.69,209.66,237.86,236.29,244.76
ago,Angola,59.49,60.82,62.29,64.61,67.05,66.99,63.08,63.74,70.78,75.13,77.22,81.21,85.2,87.86,91.51,96.12,106.81,114.82,123.71,133.44,143.01,153.4,163.48,178.53,196.23,206.62,209.9,216.12,227.5,243.51,255.48,281.03,326.27,360.56
alb,Albania,97.62,97.58,97.85,99.48,101.57,108.51,115.59,115.39,126.73,127.75,135.91,140.77,151.26,163.01,166.16,163.82,166.82,153.89,161.89,166.68,173.04,178.24,187.48,199.76,213.87,228.09,240.72,255.33,255.42,262.71,265.33,283.54,294.89,263.52
and,Andorra,3.87,4.09,4.36,4.71,4.91,5.2,5.54,5.88,6.18,6.43,6.73,7.07,7.47,7.84,8.17,8.3,8.67,9.11,9.52,9.86,10.07,9.47,9.47,9.93,10.32,10.7,11.11,11.7,12.32,13.09,13.54,14.51,15.61,16.35
are,UAE,22.4,22.94,23.34,24.41,25.22,25.38,25.8,26.94,29.11,30.43,32.17,33.2,32.74,32.98,35.46,37.4,38.34,40.13,41.35,42.3,41.66,41.56,41.15,41.34,42.53,43.84,44.97,47.01,49.44,54.61,57,61.48,69.52,79.69
arg,Argentina,1771.66,1845.02,1927.01,1990.51,2026.26,2111.01,2168.39,2255.41,2424.65,2529.48,2503.79,2620.18,2724.34,2848.86,2967.05,3030.15,3127.46,3324.06,3361.49,3459.48,3643.66,3780.48,3836.46,4008.22,4056.68,4090.94,4243.52,4207.81,4193.46,4288.41,4116.26,4481.16,4808.49,4661.07
arm,Armenia,174.11,182.49,194.41,185.02,169.77,157.22,155.07,159.37,167.1,168.34,179.92,183.33,183.33,187.28,193.71,198.84,208.67,202.63,226.09,226.31,209.57,216.99,209.62,198.49,196.68,194.49,191.19,207,198.23,223.17,234.81,225.17,211.93,184.57
atg,Antigua and Barbuda,1.41,1.43,1.43,1.34,1.32,1.42,1.55,1.57,1.53,1.56,1.67,1.73,1.82,1.87,1.9,2,2.03,2.1,2.16,2.18,2.27,2.33,2.42,2.5,2.55,2.6,2.73,2.86,3.02,3.13,3.07,2.88,3.06,3.3
aus,Australia,2360.85,2453.27,2533.62,2636.83,2761.01,2935.58,3047.72,3122.52,3200.16,3325.55,3524.92,3696.99,3885.07,3941.66,4069.78,4255.76,4415.66,4710.54,4905.87,5033.1,5031.64,5180.24,5281.78,5302.36,5538.4,5516.7,5513.8,5560.14,5784.77,5946.1,5868.97,6161.24,6418.44,6484.44
aut,Austria,848.86,893.92,903.47,920.95,942.24,966.06,999.58,1041.13,1061.6,1100.51,1139.43,1141.86,1206.32,1241.48,1308.29,1308.19,1373.09,1469.87,1547.32,1587.33,1637.8,1692.69,1778.25,1800.71,1910.84,1961.35,1972.3,1983.72,2058.76,2118.06,2157.53,2217.3,2318.26,2291.74
