geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
afg,Afghanistan,255.09,254.15,255.83,263.56,265.19,269.63,270.59,271.4,269.12,271.4,273.63,274.15,269.46,276.37,286.03,291.79,294.81,299.33,301.95,305.46,308.32,317.93,330.52,337.23,347.51,355.87,362.19,365.01,375.95,382.8,385.62,437.83,438.09,461.44
ago,Angola,191.52,195.09,198.64,204.75,210.77,212.62,205.35,208.19,224.73,234.63,242.04,253.07,270.29,282.12,290.49,304.55,326.59,343.04,364.5,384.75,405.35,426.98,445.76,470.43,499.21,528.02,549.66,574.14,597.93,626.04,668.07,732.03,785.45,841.81
alb,Albania,526.47,504.16,495.32,492.97,490.52,522.17,550.72,536.24,555.18,548.06,579.84,579.98,607.67,646.23,643.87,641.06,629.84,589.9,617.02,616.05,628.29,648.03,672.92,702.65,737.03,765.39,789.62,810.89,832.67,874.04,907.37,982.99,911.4,802.94
and,Andorra,21.09,22.17,23.3,25.37,25.97,27.52,28.48,29.51,30.49,31.17,32.2,32.67,33.93,35.18,35.92,34.57,35.61,36.86,37.96,38.73,37.1,32.54,31.07,31.51,32.52,32.46,33.44,34.92,36.16,37.65,39.89,41.87,44.35,45.83
are,UAE,112.42,119.03,125.75,134.34,144.38,158.65,167.13,171.89,181.3,185.71,175.19,183.52,187.59,189.57,185.88,175.66,185.94,189.35,186.56,183.03,188.01,189.75,188.93,183.41,182.14,193.44,206.49,223.13,237.93,262.84,229.18,249.83,324.38,415.7
arg,Argentina,8256.9,8368.49,8449.61,8545.14,8532.09,8680.43,8817.8,8916.62,9100.87,9299.22,8825.13,8753,8908.7,9018.46,8917.55,8883.81,8911.76,9230.63,8991.12,8918.35,8895.53,8897.91,8792.03,8782.56,8522.3,8552.42,8626.69,8325.24,8269.86,8096.3,7695.1,7877.68,8685.54,7787.07
arm,Armenia,834.45,922.28,932.71,892.56,844.77,878.51,890.86,885.71,873.42,900.8,934.32,964.29,991.9,1017.85,1043.94,1068.9,1101.77,1092.32,1150.49,1159.03,1092.49,1116.86,1043.11,1005.36,1027.21,1006.9,985.07,958.34,959,1009.41,982.42,981.8,970.93,864.8
atg,Antigua and Barbuda,4.16,3.94,3.9,3.62,3.79,3.82,3.78,3.7,3.75,3.84,3.87,3.9,4.05,4.22,4.14,4.28,4.4,4.63,4.65,4.74,4.6,4.59,4.76,4.78,4.73,4.97,5.2,5.07,5.06,4.77,4.85,4.46,4.61,4.63
aus,Australia,6031.46,6013.34,6141.86,6129.99,6338.16,6503.32,6579.64,6577.3,6748.41,6755.38,6707.02,6804.92,6953.76,6990.52,7315.75,7281.7,7429.62,7692.28,8042.95,8043.28,7663.48,7907.03,7881.11,7958.84,8169.18,7690.44,7861.44,7815.58,7930.67,8232.66,7725.41,8096.92,8493.66,8144.25
aut,Austria,2655.52,2654.2,2627.14,2645,2554.57,2661.82,2658.16,2650.86,2679.38,2642.39,2644.63,2643.6,2738.03,2780.41,2849.65,2819.15,2882.94,2862.21,2979.76,3091.12,3019.28,3041.3,3048.32,3123.75,3127.12,3075.6,3031.36,3030.76,3098.02,3003.81,3040.68,3011.57,3122.03,3083.27
aze,Azerbaijan,1158,1161.99,1149.36,1151.38,1105.4,1187.36,1118.86,1049.83,994.31,951.31,970.3,933.07,928.78,957.25,987.26,1013.87,1071.41,1107.64,1165.1,1222.71,1164.02,1233.45,1289.44,1308.25,1329.32,1150.32,1189.35,1225.91,1269.06,1372.28,1505.98,1404.5,1346.27,1474.01
bdi,Burundi,60.48,60.72,60.95,61.52,60.38,60.05,61.13,61.14,60.62,61.06,62.53,63.89,65.29,67.06,70.33,74.85,79.69,86.03,93.26,99,105.33,112.24,118.78,124.3,133.21,141.35,148.75,155.45,161.45,171.2,185.07,217.55,209.06,226
