geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
afg,Afghanistan,19.7,,,,,15.3,,13.9,,,12,,,,,9.4,,,,,7.4,7.1,6.8
alb,Albania,11.1,,,,,9.6,,9.1,,,8.4,,,,,7.3,,,,,6.4,6.2,6
and,Andorra,28.5,,,,,30.3,,31,,,32.2,,,,,34.4,,,,,36.7,37.3,37.9
are,UAE,4,,,,,3.6,,3.4,,,3.2,,,,,2.9,,,,,2.7,2.6,2.6
arg,Argentina,28.5,,,,,25.9,,25.1,,,23.7,,,,,21.5,,,,,19.7,19.4,19.1
arm,Armenia,2.6,,,,,2.3,,2.2,,,2,,,,,1.8,,,,,1.6,1.6,1.5
aus,Australia,22.5,,,,,19,,17.8,,,16.2,,,,,13.7,,,,,11.5,11.2,10.9
aut,Austria,47.1,,,,,40.5,,38,,,34.6,,,,,29.8,,,,,25.5,24.7,24
aze,Azerbaijan,0.3,,,,,0.3,,0.2,,,0.2,,,,,0.2,,,,,0.1,0.1,0.1
bdi,Burundi,20,,,,,14.5,,12.9,,,10.7,,,,,7.9,,,,,5.9,5.6,5.3
bel,Belgium,24.5,,,,,24.5,,24.4,,,24.6,,,,,24.5,,,,,24.6,24.5,24.5
ben,Benin,5,,,,,3.9,,3.6,,,3.2,,,,,2.5,,,,,2.1,2,1.9
bfa,Burkina Faso,24.6,,,,,17.7,,15.5,,,12.7,,,,,9.3,,,,,6.8,6.4,6
bgd,Bangladesh,48.6,,,,,38.3,,34.4,,,29.2,,,,,22.3,,,,,17.1,16.2,15.4
bgr,Bulgaria,35.7,,,,,36,,36.4,,,36.6,,,,,37.4,,,,,38.1,38.5,38.7
bhr,Bahrain,7.5,,,,,6.7,,6.5,,,6.1,,,,,5.7,,,,,5.2,5.1,5.1
bhs,Bahamas,4.8,,,,,4,,3.7,,,3.3,,,,,2.7,,,,,2.3,2.2,2.1
bih,Bosnia and Herzegovina,34.8,,,,,33.5,,33.1,,,32.5,,,,,31.6,,,,,31.1,30.8,30.9
blr,Belarus,15.5,,,,,15,,14.9,,,14.7,,,,,14.3,,,,,14.1,14.1,13.9
blz,Belize,3.2,,,,,2.8,,2.7,,,2.5,,,,,2.2,,,,,2,1.9,1.9
bol,Bolivia,29.2,,,,,18.4,,15.4,,,11.8,,,,,7.6,,,,,4.9,4.5,4.2
bra,Brazil,18.3,,,,,15.4,,14.4,,,13.1,,,,,11.1,,,,,9.5,9.1,8.9
brb,Barbados,3.7,,,,,3.1,,2.9,,,2.6,,,,,2.2,,,,,1.9,1.8,1.7
brn,Brunei,5.1,,,,,4.2,,3.8,,,3.4,,,,,2.8,,,,,2.3,2.2,2.2
btn,Bhutan,29.3,,,,,23.4,,21.3,,,18.7,,,,,15,,,,,12.1,11.6,11.1
bwa,Botswana,29.9,,,,,21.4,,18.9,,,15.5,,,,,11.2,,,,,8.2,7.7,7.2
can,Canada,26.8,,,,,21.2,,19.3,,,17,,,,,13.5,,,,,10.7,10.2,9.7
che,Switzerland,23.6,,,,,23.6,,23.3,,,23.3,,,,,23.2,,,,,23.1,23,22.9
chl,Chile,42.5,,,,,38.2,,36.5,,,34.3,,,,,30.9,,,,,27.9,27.4,26.7
chn,China,3.2,,,,,2.7,,2.6,,,2.3,,,,,2,,,,,1.7,1.6,1.6
civ,Cote d'Ivoire,3,,,,,2.2,,1.9,,,1.6,,,,,1.2,,,,,0.9,0.8,0.8
cmr,Cameroon,4.8,,,,,3.5,,3.1,,,2.6,,,,,1.9,,,,,1.4,1.4,1.3
cod,"Congo, Dem. Rep.",8.1,,,,,6.2,,5.6,,,4.8,,,,,3.8,,,,,3,2.9,2.8
cog,"Congo, Rep.",5.7,,,,,4.5,,4,,,3.5,,,,,2.8,,,,,2.2,2.1,2.1
col,Colombia,8.6,,,,,7.3,,6.9,,,6.2,,,,,5.4,,,,,4.6,4.5,4.4
com,Comoros,56.6,,,,,34.8,,28.7,,,21.4,,,,,13.1,,,,,8.1,7.4,6.7
cpv,Cape Verde,12.8,,,,,10.4,,9.5,,,8.4,,,,,6.9,,,,,5.6,5.4,5.2
cri,Costa Rica,9.5,,,,,8,,7.5,,,6.8,,,,,5.7,,,,,4.9,4.7,4.5
cub,Cuba,29.7,,,,,22.9,,20.7,,,17.7,,,,,13.6,,,,,10.5,10,9.5
cyp,Cyprus,21.1,,,,,21.7,,21.8,,,22,,,,,22.9,,,,,23.6,23.8,23.9
