geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
afg,Afghanistan,58.6,,,,,53.1,,51,,,48.3,,,,,43.8,,,,,40,39.3,38.7
alb,Albania,59.6,,,,,53.6,,51.3,,,48.3,,,,,43.5,,,,,39.5,38.5,37.8
and,Andorra,43.6,,,,,41.3,,40.4,,,39.2,,,,,37.2,,,,,35.3,35,34.8
are,UAE,34.1,,,,,28.3,,26.2,,,23.4,,,,,19.5,,,,,16.4,15.9,15.4
arg,Argentina,40,,,,,37.2,,35.9,,,34.2,,,,,31.8,,,,,29.5,28.9,28.5
arm,Armenia,62.6,,,,,59.3,,57.8,,,55.6,,,,,52.6,,,,,49.9,49,48.2
aus,Australia,26.5,,,,,23.4,,22.2,,,20.6,,,,,18.1,,,,,15.9,15.6,15.2
aut,Austria,58,,,,,48.2,,44.7,,,39.9,,,,,33.3,,,,,27.6,26.7,25.8
aze,Azerbaijan,57.3,,,,,52,,50.2,,,47.7,,,,,43.8,,,,,40.2,39.6,39
bdi,Burundi,32.6,,,,,27.6,,26.2,,,23.9,,,,,20.6,,,,,18.1,17.6,17.1
bel,Belgium,37.4,,,,,35.3,,34.5,,,33.3,,,,,31.5,,,,,29.8,29.5,29
ben,Benin,30.3,,,,,23.7,,21.6,,,18.7,,,,,14.7,,,,,11.7,11.2,10.7
bfa,Burkina Faso,36.8,,,,,32.7,,31.4,,,29,,,,,26,,,,,23.4,23,22.5
bgd,Bangladesh,67.5,,,,,63.1,,61.6,,,59.2,,,,,55.5,,,,,51.7,51.3,50.5
bgr,Bulgaria,59.1,,,,,53.8,,52,,,49.4,,,,,45.3,,,,,41.8,41.1,40.3
bhr,Bahrain,36.4,,,,,33.2,,32.2,,,30.4,,,,,28,,,,,25.6,25.3,25
bhs,Bahamas,19.4,,,,,19.5,,19.5,,,19.6,,,,,20,,,,,20.3,20.3,20.5
bih,Bosnia and Herzegovina,59.2,,,,,53.9,,52.2,,,49.7,,,,,45.9,,,,,42.6,42,41.6
blr,Belarus,70,,,,,63.9,,61.6,,,58,,,,,52.5,,,,,48.2,47.2,46.3
blz,Belize,24.3,,,,,21.8,,21,,,19.6,,,,,17.7,,,,,16.2,16,15.6
bol,Bolivia,41.1,,,,,34.8,,32.5,,,29.5,,,,,25.2,,,,,21.9,21.1,20.6
bra,Brazil,29.4,,,,,25.3,,23.6,,,21.7,,,,,18.7,,,,,16.3,15.8,15.4
brb,Barbados,15.3,,,,,14.5,,14.1,,,13.7,,,,,13,,,,,12.4,12.2,12.2
brn,Brunei,29.3,,,,,29.4,,29.5,,,29.5,,,,,30,,,,,30.4,30.5,30.7
btn,Bhutan,36.5,,,,,33.4,,32.6,,,31.1,,,,,28.8,,,,,27,26.5,26.2
bwa,Botswana,40.3,,,,,37.5,,36.6,,,35.3,,,,,33,,,,,31,30.5,30.2
can,Canada,30.7,,,,,25.8,,23.9,,,21.6,,,,,18.2,,,,,15.3,14.8,14.3
che,Switzerland,32.9,,,,,31.6,,31.3,,,30.5,,,,,29.6,,,,,28.6,28.5,28.2
chl,Chile,51.4,,,,,45.6,,43.6,,,40.7,,,,,36.3,,,,,32.3,31.7,30.8
chn,China,50.7,,,,,49.3,,48.7,,,48,,,,,46.7,,,,,45.6,45.2,45.1
civ,Cote d'Ivoire,38.5,,,,,31.3,,28.9,,,25.9,,,,,21.6,,,,,18,17.4,16.9
cmr,Cameroon,27,,,,,22.1,,20.4,,,18.2,,,,,15,,,,,12.5,12.1,11.7
cod,"Congo, Dem. Rep.",36.3,,,,,31.7,,30,,,27.9,,,,,24.8,,,,,22.4,21.9,21.6
cog,"Congo, Rep.",19,,,,,20.7,,21.3,,,22.5,,,,,24.8,,,,,27.5,28.2,28.8
col,Colombia,22.8,,,,,19.5,,18.3,,,16.8,,,,,14.5,,,,,12.6,12.3,12
com,Comoros,43.8,,,,,39.1,,37.8,,,35.2,,,,,31.8,,,,,28.9,28.3,27.7
cpv,Cape Verde,27.3,,,,,24.3,,23.1,,,21.7,,,,,19.5,,,,,17.5,17,16.7
cri,Costa Rica,25.1,,,,,21.7,,20.4,,,18.7,,,,,16,,,,,13.9,13.6,13.2
cub,Cuba,49.4,,,,,42.2,,39.9,,,36.6,,,,,31.3,,,,,26.9,26.2,25.3
cyp,Cyprus,63.6,,,,,59,,57.5,,,55.2,,,,,51.4,,,,,48.3,47.8,47.2
cze,Czech Republic,41.4,,,,,39.6,,38.7,,,37.6,,,,,35.6,,,,,34.1,33.9,33.4
deu,Germany,40.8,,,,,35.9,,34.3,,,31.7,,,,,27.7,,,,,24.5,23.8,23.2
dnk,Denmark,40.9,,,,,33.3,,30.7,,,26.9,,,,,21.9,,,,,17.8,17.1,16.4
dom,Dominican Republic,21.5,,,,,19.6,,18.9,,,17.9,,,,,16.3,,,,,14.9,14.7,14.4
dza,Algeria,43.9,,,,,43.1,,43,,,42.3,,,,,41.7,,,,,41.7,41.7,41.8
